id,population
Liederobosmina_Argentina02b,South_America
Liederobosmina_Argentina02c,South_America
Liederobosmina_Argentina03a,South_America
Liederobosmina_Argentina03b,South_America
Liederobosmina_Argentina03c,South_America
Liederobosmina_Argentina03d,South_America
Liederobosmina_cf_huaronensis_USA03a,North_America
Liederobosmina_cf_huaronensis_USA03b,North_America
Liederobosmina_chilense_Argentina08a,South_America
Liederobosmina_chilense_Argentina08b,South_America
Liederobosmina_chilense_Argentina08c,South_America
Liederobosmina_chilense_Argentina08d,South_America
Liederobosmina_chilense_Argentina09a,South_America
Liederobosmina_chilense_Chile02a,South_America
Liederobosmina_Guatemala01a,Central_America
Liederobosmina_Guatemala01b,Central_America
Liederobosmina_Guatemala01c,Central_America
Liederobosmina_Guatemala01d,Central_America
Liederobosmina_Guatemala01e,Central_America
Liederobosmina_huaronensis_Argentina01a,South_America
Liederobosmina_huaronensis_Argentina02e,South_America
Liederobosmina_huaronensis_Argentina02f,South_America
Liederobosmina_huaronensis_Argentina04a,South_America
Liederobosmina_huaronensis_Argentina05a,South_America
Liederobosmina_huaronensis_Argentina06a,South_America
Liederobosmina_meridionalis_Australia01a,Australia
Liederobosmina_meridionalis_Australia02a,Australia
Liederobosmina_meridionalis_Australia02b,Australia
Liederobosmina_Mexico01b,Central_America
Liederobosmina_Mexico01c,Central_America
Liederobosmina_Mexico01d,Central_America
Liederobosmina_Mexico01e,Central_America
Liederobosmina_Mexico01f,Central_America
Liederobosmina_Mexico01g,Central_America
Liederobosmina_Mexico01h,Central_America
Liederobosmina_Mexico02a,Central_America
Liederobosmina_Mexico02b,Central_America
Liederobosmina_Mexico03a,Central_America
Liederobosmina_Mexico04a,Central_America
Liederobosmina_Mexico04b,Central_America
Liederobosmina_Mexico04c,Central_America
Liederobosmina_Mexico05a,Central_America
Liederobosmina_Mexico05b,Central_America
Liederobosmina_Mexico05c,Central_America
Liederobosmina_Mexico05d,Central_America
Liederobosmina_Mexico05e,Central_America
Liederobosmina_Mexico06a,Central_America
Liederobosmina_Mexico06c,Central_America
Liederobosmina_Mexico07a,Central_America
Liederobosmina_Mexico08a,Central_America
Liederobosmina_Mexico09a,Central_America
Liederobosmina_Mexico09b,Central_America
Liederobosmina_Mexico10a,Central_America
Liederobosmina_Mexico10b,Central_America
Liederobosmina_Mexico11a,Central_America
Liederobosmina_Mexico11b,Central_America
Liederobosmina_Mexico11c,Central_America
Liederobosmina_tanakai02,Asia_ME
Liederobosmina_USA05a,North_America
Liederobosmina_USA08a,North_America
Liederobosmina_USA08b,North_America
Liederobosmina_USA11a,North_America
Liederobosmina_USA11b,North_America
Liederobosmina_USA11c,North_America
Liederobosmina_USA11d,North_America
Liederobosmina_USA11e,North_America
Liederobosmina_USA13a,North_America
Liederobosmina_USA14a,North_America
Liederobosmina_USA14b,North_America
Liederobosmina_USA20a,North_America
Liederobosmina_USA21a,North_America
Liederobosmina_USA21b,North_America
Liederobosmina_USA23a,North_America
Lunobosmina_oriens_USA11i,North_America
Lunobosmina_oriens_USA16a,North_America
Lunobosmina_oriens_USA16b,North_America
Lunobosmina_oriens_USA22a,North_America
MCM690N17_B_sp_Mexico_BOLD_AAB9669,Central_America
MCM691N17_B_sp_Mexico_BOLD_AAB9669,Central_America
MCM692N17_B_sp_Mexico_BOLD_AAB9669,Central_America
MCM693N17_B_sp_Mexico_BOLD_AAB9669,Central_America
MCM694N17_B_sp_Mexico_BOLD_AAB9669,Central_America
MCM695N17_B_sp_Mexico_BOLD_AAB9669,Central_America
MCM696N17_B_sp_Mexico_BOLD_AAB9669,Central_America
MCM697N17_B_sp_Mexico_BOLD_AAB9669,Central_America
MCM698N17_B_sp_Mexico_BOLD_AAB9669,Central_America
